Comment,Polarity
Obathuma me welawe ratagana rate janthawa gana hithala karana dewal gana godak agaya karanawa. Obathumata pin me widiyata katauthu karana ekata,Positive
Muta kiyanna wachana ne,Negative
Eka aththa,Positive
Ethakota ungey weraditika wahandada mey anduwen unwa maranne,Negative
Muwaga moda musalayak,Negative
chiran jayathu mahindha mathidune gotabaya mathiduni saha mulu thrawida hamudawatama,Positive
Medical bed one thanata monada me hingana adawal dila wihilu sapayanne.bari nsm puluwan ekekuta dila gedara yanna namal,Negative
police pihita nathi unama api yanneth lower langata thama. adayama gana newi,Negative
Hadavathina agaya karanava,Positive
Okun marapu pavulvala unta bara denna galghala maranna,Negative
Hodawede ohalata,Negative
Kohomath Mona rajaya arwath wirudda wadintika marala ungeun kohoma Hari rakino ,Negative
Aththenma,Positive
kiyanade ahuwe nathan niladhari gedarane niladhariyata job eka one.,Negative
Paw appa munta,Negative
Aththa ekai,Positive
lokka inneth eyalage karapitane,Negative
Oka patta boru kiyqnne,Negative
Api hoda bawddayo kala kam pala denawamai,Positive
Hitan hodaine,Positive
Gotaabaya mahathyo kelin thirana ganna,Positive
Thama pramada ne,Positive
Ranilage wedak neti project ekak,Negative
Samawa ganna bala kala bawa rahasak nowe.me sakkili anduwa.,Negative
Uge konda tibuna nisaane ohoma kale,Positive
"kollata puduma hithena athi. erata wala President pare giyath samanya deyak ne, me mona iskuruppuda munge kiyala",Negative
Me wage post danna epa,Negative
Raja pawlata ( England ) tiyena gawrawaya sama karanna wena ewunta behe,Negative
Jayawewa theruwan sarani,Positive
Apa rata ganna ballang muling,Positive
Hoda mimihekutavath udavvakvath karanda hitenne natte horu handa,Negative
Menik Kuluna Haa Jim Sedeema Nawathaa EmaAramudal Mewaata Yomukaranna.,Positive
Kalin hari theerane gattanam higakanna onna ne.akayi kiyanne sir fael kiyala,Negative
Minissu inna ona arthikaya hadanna,Positive
Ea kathawa nam aththa. Minissu wathura hari beela idi,Positive
Niyama Janatha sewakayek,Positive
Wanna ona dayk,Positive
kawadawth minissu hadenneth na rata hadenneth na,Negative
Kiwwe nam Putin kenek kiyala dan nam Hitantath anthai,Negative
Behet widinna,Positive
Hora kala sure,Negative
Tawa gennapalla tawa samaja gatawela nane,Negative
meka hodai,Positive
Me wage un nisha rata iwaratema iwara una wetarai,Negative
Paalakainta therenna newei onakamak na api dakka news wala gowin elawalu pare halala yanawa pau.,Negative
Oya kommission dagena ewata gewana padi aparadee. Okata pilituru podi minissuth hoyala dai Oku loku pattan oni nehe,Positive
Kalamana Karanaya Nathi Nisai Me Rata Me Vidihata Hamadama Thiyenne.,Negative
Deshaya wenuwen divi pidu Rana viruwani oba semata Niwan suwa Abaditha wu viruwani oba sematama nirogi suwaya,Positive
Minissu terun gaddi wenna ona de wela iwariii,Negative
boruwata minissunwa baya karannepa... hamooma anawashya gaman atha harla piliwelakata inna,Positive
